price,square_meters,rooms,floor,is_promoted,condition,latitude,longitude,date,price_per_sqm,safe_room,elevator,parking,bars,air_conditioning,air_conditioner,accessible,furniture
3199000,4800,5,0,3,2,31.2409898,34.8102776,0,666.4583333333334,1,0,1,0,1,1,1,0
679000,500,3,3,3,3,31.263905,34.791478,0,1358.0,0,0,0,0,1,1,0,0
0,1520,5,1,3,2,31.2329178346457,34.7667503858268,0,0.0,1,1,1,0,1,1,1,0
1400000,1000,5,0,3,3,31.2409898,34.8102776,0,1400.0,1,1,1,0,0,0,0,0
0,1130,4,3,3,4,31.2432932,34.79019655,0,0.0,0,1,1,0,1,1,0,1
2400000,1730,5,5,3,3,31.282849952381,34.8003803809524,0,1387.2832369942196,1,1,1,0,1,1,1,0
1490000,1400,4,4,3,2,31.2872804137931,34.8060372068966,0,1064.2857142857142,1,1,1,0,1,1,1,0
1250000,1150,4,5,3,3,31.2388306415094,34.7739166981132,0,1086.9565217391305,1,1,1,1,1,1,1,0
1630000,1440,5,7,3,3,31.243932,34.785898,0,1131.9444444444443,1,1,1,1,1,1,1,0
700000,600,3,3,3,3,31.26611425,34.795434952381,0,1166.6666666666667,0,0,0,1,1,1,0,1
929000,850,3,0,3,3,31.2636110512821,34.7954872307692,0,1092.9411764705883,0,0,0,1,1,1,1,1
2400000,2200,5,9,3,2,31.2305219302326,34.8206466744186,0,1090.909090909091,1,0,1,0,1,1,0,0
780000,600,3,0,3,3,31.264183,34.774816,0,1300.0,0,0,0,1,1,1,1,1
945000,700,3,3,3,3,31.25952,34.794377,0,1350.0,0,0,0,1,1,1,0,1
755000,780,4,2,3,3,31.2574624583333,34.8080765416667,0,967.9487179487179,0,0,1,1,1,1,0,1
1050000,1070,3,2,3,4,0.0,0.0,0,981.3084112149533,1,1,1,1,1,1,1,0
1690000,1450,4,0,3,4,31.2409898,34.8102776,0,1165.5172413793102,1,1,1,1,1,1,1,0
1700000,1200,5,0,3,3,31.249948,34.781999,0,1416.6666666666667,0,0,0,1,1,1,1,0
1981000,6000,0,0,3,0,31.272087,34.755363,0,330.1666666666667,0,0,0,0,0,0,0,0
1300000,1450,5,0,1,3,31.250108,34.802679,0,896.551724137931,0,0,1,1,1,1,0,0
1190000,1120,5,2,1,4,31.267286,34.767462,0,1062.5,1,0,1,0,1,1,0,1
1950000,1460,5,2,1,3,31.254405,34.796507,0,1335.6164383561643,1,1,1,0,1,1,1,0
930000,440,3,1,1,3,31.261057,34.793956,0,2113.6363636363635,0,0,0,1,1,1,0,1
1650000,1420,5,3,1,3,0.0,0.0,0,1161.9718309859154,1,1,0,0,1,1,0,0
1880000,2010,4,0,1,3,0.0,0.0,0,935.3233830845771,1,1,1,1,1,1,1,0
870000,640,4,2,1,3,31.261078,34.790624,0,1359.375,0,0,0,1,1,1,0,1
2500000,2430,6,0,1,3,31.232695,34.777376,0,1028.80658436214,1,0,1,0,1,1,0,0
1770000,1500,5,3,1,2,31.284483,34.800727,0,1180.0,1,1,1,1,1,1,1,1
0,2500,6,0,1,3,31.269937,34.80652,0,0.0,1,0,1,0,1,1,0,0
1100000,550,3,9,1,2,31.25939,34.794808,0,2000.0,1,1,1,0,1,1,1,1
0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0
800000,720,3,4,1,3,31.245568,34.791832,0,1111.111111111111,0,0,0,0,1,1,0,1
0,1670,5,0,1,3,0.0,0.0,0,0.0,1,1,1,1,1,1,1,1
1500000,1280,4,5,1,3,31.238566,34.769129,0,1171.875,1,1,1,1,1,1,1,0
875000,500,2,0,1,3,31.257294,34.808287,0,1750.0,0,0,0,1,1,1,0,0
1100000,740,2,4,1,3,31.269708,34.765805,0,1486.4864864864865,1,1,0,0,1,1,0,0
850000,840,3,2,1,3,0.0,0.0,0,1011.9047619047619,0,1,1,0,1,1,0,0
1750000,1070,3,3,1,1,31.264176,34.772155,0,1635.5140186915887,1,1,1,0,1,1,1,0
950000,1010,45,2,1,4,31.245274,34.794267,0,940.5940594059406,0,0,0,0,1,1,0,1
1950000,1900,5,1,1,2,0.0,0.0,0,1026.3157894736842,1,1,1,1,1,1,0,1
2440000,1550,55,0,1,4,31.244368,34.779102,0,1574.1935483870968,1,0,1,1,1,1,1,0
2600000,3000,65,0,3,3,31.2409898,34.8102776,0,866.6666666666666,1,0,1,1,1,1,1,0
1400000,1800,5,8,3,3,31.26672,34.774793,0,777.7777777777778,1,1,1,1,1,1,1,0
1575000,1900,4,4,3,3,31.278003047619,34.8005495,0,828.9473684210526,1,1,1,0,1,1,1,0
960000,950,4,5,3,4,31.2409898,34.8102776,0,1010.5263157894736,0,1,1,0,1,1,0,0
2590000,2200,5,8,3,2,31.2559909285714,34.7549493571429,0,1177.2727272727273,1,1,1,1,1,1,0,0
680000,600,3,3,3,3,31.2409898,34.8102776,0,1133.3333333333333,0,1,0,1,1,1,0,1
620000,450,2,2,3,3,31.2574624583333,34.8080765416667,0,1377.7777777777778,0,0,1,1,1,1,0,1
0,1250,5,0,3,4,31.2537917222222,34.7896048888889,0,0.0,0,0,1,1,1,1,1,1
1770000,1400,5,0,3,3,31.237213,34.772538,0,1264.2857142857142,1,1,1,1,1,1,1,0
1990000,2500,5,0,3,4,31.2409898,34.8102776,0,796.0,1,0,1,0,1,1,1,0
610000,540,25,3,3,3,31.2610354354839,34.7913790483871,0,1129.6296296296296,0,0,0,0,1,1,0,1
549000,560,2,4,3,4,31.249488,34.80197,0,980.3571428571429,0,1,0,0,1,1,0,0
969000,1000,3,0,3,3,31.2656986666667,34.7845362222222,0,969.0,0,1,1,0,1,1,1,0
690000,550,2,3,3,3,31.2684863257576,34.7999678560606,0,1254.5454545454545,0,0,0,1,1,1,0,1
1575000,1600,5,0,3,4,31.280903925,34.79908875,0,984.375,1,1,1,1,1,1,1,0
2000000,1270,5,1,2,3,31.2746243544304,34.823182,0,1574.8031496062993,1,0,1,1,1,1,0,0
3250000,2500,5,0,2,2,31.2869091285714,34.8007492,0,1300.0,1,0,1,1,1,1,0,0
2950000,2500,6,0,2,2,31.2728654927536,34.8085336956522,0,1180.0,1,0,1,0,1,1,0,0
1320000,1040,3,2,2,3,31.282849952381,34.8003803809524,0,1269.2307692307693,1,1,1,0,1,1,1,0
1300000,1120,5,1,2,4,31.255433,34.791369,0,1160.7142857142858,0,0,1,0,1,1,0,0
785000,760,4,2,2,3,31.2409898,34.8102776,0,1032.8947368421052,0,0,1,0,0,0,0,0
1620000,3800,5,0,1,4,31.2409898,34.8102776,0,426.3157894736842,0,0,1,0,1,1,1,0
0,10,4,4,1,3,31.2329178346457,34.7667503858268,0,0.0,1,1,1,0,1,1,1,0
1700000,2500,7,0,1,4,31.2384031,34.7814821,0,680.0,0,0,1,1,1,1,1,0
1690000,4410,6,0,1,1,31.27246,34.763488,0,383.2199546485261,0,0,0,0,0,0,0,0
1350000,1070,3,3,1,4,31.239199,34.772466,0,1261.6822429906542,1,1,0,0,1,1,1,0
1750000,1800,5,0,1,3,31.247693,34.78104,0,972.2222222222222,0,0,0,1,1,1,0,1
1320000,1150,4,2,1,4,31.284523,34.799018,0,1147.8260869565217,1,1,1,1,1,1,0,0
10000,2500,4,0,1,4,31.261446,34.756079,0,4.0,1,0,1,1,0,0,0,0
870000,840,3,8,1,3,31.25601,34.771891,0,1035.7142857142858,0,1,0,0,1,1,0,0
1215000,850,45,2,1,4,31.249671,34.807409,0,1429.4117647058824,0,0,0,0,1,1,0,1
2100000,1700,5,2,1,2,0.0,0.0,0,1235.2941176470588,1,0,1,1,1,1,0,0
1800000,1400,4,0,1,2,31.229184,34.825919,0,1285.7142857142858,1,1,1,1,1,1,1,0
1150000,950,3,3,1,3,31.269376,34.767295,0,1210.5263157894738,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0
1060000,1000,4,8,1,3,0.0,0.0,0,1060.0,0,1,1,1,1,1,1,0
2380000,2500,5,1,1,3,31.269034,34.768333,0,952.0,1,0,1,0,1,1,1,0
1660000,1280,4,1,1,2,31.287988,34.806905,0,1296.875,1,1,1,1,1,1,1,1
3500000,1700,5,0,1,3,0.0,0.0,0,2058.823529411765,1,0,1,1,1,1,1,0
1520000,1170,4,5,1,3,31.240475,34.765876,0,1299.145299145299,1,1,1,1,1,1,1,1
850000,600,3,2,1,3,31.263204,34.789597,0,1416.6666666666667,0,0,1,0,1,1,0,1
2360000,6700,8,1,1,1,31.27246,34.763488,0,352.23880597014926,0,0,1,0,0,0,1,0
2300000,1350,5,0,1,4,31.263553,34.759554,0,1703.7037037037037,1,0,1,0,1,1,0,0
730000,720,3,4,1,3,31.246078,34.774915,0,1013.8888888888889,0,0,0,0,1,1,0,0
2450000,1810,5,21,1,2,0.0,0.0,0,1353.5911602209944,1,1,1,1,1,1,1,0
1470000,980,4,0,2,4,31.256172,34.79599,0,1500.0,0,0,0,0,1,1,1,1
4550000,5000,8,0,2,2,31.275525625,34.754391,0,910.0,0,0,1,1,1,1,1,0
1250000,1080,4,3,2,3,31.2543385769231,34.7934598076923,0,1157.4074074074074,0,0,1,0,1,1,0,0
1199999,1070,4,7,2,3,31.240768,34.767597,0,1121.4943925233645,1,1,1,0,1,1,1,0
655000,750,35,4,2,3,31.255628,34.775405,0,873.3333333333334,0,0,0,1,1,1,0,1
720000,500,2,1,2,3,31.2409898,34.8102776,0,1440.0,0,0,1,1,1,1,0,1
1399000,1350,3,0,2,4,31.238903,34.766422,0,1036.2962962962963,1,1,1,1,1,1,1,0
1279000,1300,45,5,2,4,31.2460329636364,34.7753464181818,0,983.8461538461538,1,1,1,1,1,1,1,0
2100000,1240,4,5,2,2,31.2327641573034,34.7701429213483,0,1693.5483870967741,1,1,1,0,1,1,0,0
925000,1030,3,3,2,3,31.265507,34.784235,0,898.0582524271845,0,1,1,0,1,1,0,0
790000,900,4,3,2,4,31.2604399101124,34.7763476516854,0,877.7777777777778,0,0,1,0,0,0,0,0
2250000,1560,5,7,2,2,31.254983,34.793087,0,1442.3076923076924,1,1,1,0,1,1,1,0
1795000,2000,45,0,2,4,31.2450135151515,34.7753822727273,0,897.5,1,0,0,1,1,1,0,0
1320000,1200,4,1,2,2,31.2409898,34.8102776,0,1100.0,1,1,1,0,1,1,1,0
2890000,4200,6,0,2,2,31.229563,34.7701320555556,0,688.0952380952381,1,0,1,1,1,1,1,0
0,1740,5,6,2,4,31.2432932,34.79019655,0,0.0,1,0,0,1,1,1,0,0
1730000,1340,4,3,2,2,31.2329178346457,34.7667503858268,0,1291.044776119403,1,1,1,1,1,1,1,1
3290000,5200,5,0,2,4,31.2526494181818,34.7628602,0,632.6923076923077,1,0,1,1,1,1,0,0
829000,650,3,0,2,3,31.248967,34.7792895,0,1275.3846153846155,0,0,1,1,1,1,0,0
1150000,970,4,3,2,4,31.2409898,34.8102776,0,1185.5670103092784,1,1,1,1,1,1,1,0
2075000,2000,4,0,1,2,31.2305219302326,34.8206466744186,0,1037.5,1,1,1,1,1,1,1,0
1699000,4500,0,0,1,0,31.2409898,34.8102776,0,377.55555555555554,0,0,0,0,0,0,0,0
970000,940,4,8,1,4,0.0,0.0,0,1031.9148936170213,0,1,1,0,1,1,1,0
1031000,970,4,2,1,3,31.236975,34.778451,0,1062.8865979381444,0,0,1,1,1,1,0,0
2300000,2350,5,0,1,4,0.0,0.0,0,978.7234042553191,1,0,1,1,1,1,0,0
890000,820,3,2,1,3,31.250896,34.808718,0,1085.3658536585365,0,0,1,0,0,0,0,0
